"ano";"tipo";"razon_social";"nombre_establecimiento";"rubro_retc";"region";"comuna";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"valorizacion_eliminacion";"cantidad_toneladas";"declaracion_estimacion";"establecimiento_destinatario";"comuna_destinatario"
"2018";"Generador Industrial";"BEIERSDORF S A";"BEIERSDORF S.A.";"Industria manufacturera";"Metropolitana de Santiago";"Lo Espejo";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";2,08;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"BEIERSDORF S A";"BEIERSDORF S.A.";"Industria manufacturera";"Metropolitana de Santiago";"Lo Espejo";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";2,26;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"BEIERSDORF S A";"BEIERSDORF S.A.";"Industria manufacturera";"Metropolitana de Santiago";"Lo Espejo";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";1,75;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"UNILEVER CHILE SCC LIMITADA";"UNILEVER CHILE SA PLANTA PANAMERICANA NORTE";"Producción de alimentos";"Metropolitana de Santiago";"Conchalí";"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtraciÃ³n y ropas de protecciÃ³n no especificados en otra categorÃ­a";"Envases (incluidos los residuos de envases de la recogida selectiva municipal)";"Envases compuestos";"Co-procesamiento";"Valorización";0,395;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos no especificados en otro capÃ­tulo de la lista";"Lotes de productos fuera de especificaciÃ³n y productos no utilizados";"Residuos inorgánicos distintos de los especificados en el código 16 03 03";"Co-procesamiento";"Valorización";10,55;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Papel y cartón";"Co-procesamiento";"Valorización";2,12;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Papel y cartón";"Co-procesamiento";"Valorización";1,231;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"NESTLE CHILE SA";"NESTLE CHILE S.A FÃBRICA MAIPU";"Producción de alimentos";"Metropolitana de Santiago";"Maipú";"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparaciÃ³n y elaboraciÃ³n de alimentos";"Residuos de la preparaciÃ³n y elaboraciÃ³n de frutas, hortalizas, cereales, aceites comestibles, cacao, cafÃ©, tÃ© y tabaco; producciÃ³n de conservas; producciÃ³n de levadura y extracto de levadura, preparaciÃ³n y fermentaciÃ³n de melazas";"Materiales inadecuados para el consumo o la elaboración";"Co-procesamiento";"Valorización";9,31;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Papel y cartón";"Co-procesamiento";"Valorización";1,287;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"VITAL JUGOS S.A.";"VITAL JUGOS SA";"Producción de alimentos";"Metropolitana de Santiago";"Renca";"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparaciÃ³n y elaboraciÃ³n de alimentos";"Residuos de la producciÃ³n de bebidas alcohÃ³licas y no alcohÃ³licas (excepto cafÃ©, tÃ© y cacao)";"Residuos no especificados en otra categoría";"Co-procesamiento";"Valorización";101,74;NA;"PLANTA POLPAICO - TIL TIL";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Co-procesamiento";"Valorización";3,65;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"ALTO MAIPO SPA";"INSTALACIÃ“N DE FAENAS 5";"Generación de energía";"Metropolitana de Santiago";"San José de Maipo";"Residuos no especificados en otro capÃ­tulo de la lista";"Residuos lÃ­quidos acuosos destinados a plantas de tratamiento externas";"Residuos líquidos acuosos distintos de los especificados en el código 16 10 01";"Co-procesamiento";"Valorización";2146,41;NA;"CENTRO DE GESTION DE BIOSOLIDOS EL RUTAL";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Madera distinta de la especificada en el código 19 12 06";"Co-procesamiento";"Valorización";0,612;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"PROCESADORA INSUBAN LIMITADA";"PROCESADORA INSUBAN LTDA";NA;"Metropolitana de Santiago";"Pudahuel";"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparaciÃ³n y elaboraciÃ³n de alimentos";"Residuos de la preparaciÃ³n y elaboraciÃ³n de carne, pescado y otros alimentos de origen animal";"Residuos de tejidos de animales";"Incineración con recuperación de energía";"Valorización";23,42;NA;"SUINCO S.A.";"San Bernardo"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Co-procesamiento";"Valorización";1,611;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"SOCOFAR S A";"SOCOFAR SA";"Comercio";"Metropolitana de Santiago";"Macul";"Residuos de procesos quÃ­micos orgÃ¡nicos";"Residuos de la FFDU de productos farmacÃ©uticos";"Residuos no especificados en otra categoría";"Incineración sin recuperación de energía";"Eliminación";3,565;NA;"PROCESOS SANITARIOS";"Quilicura"
"2018";"Generador Industrial";"UNILEVER CHILE SCC LIMITADA";"UNILEVER CHILE SA PLANTA PANAMERICANA NORTE";"Producción de alimentos";"Metropolitana de Santiago";"Conchalí";"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtraciÃ³n y ropas de protecciÃ³n no especificados en otra categorÃ­a";"Envases (incluidos los residuos de envases de la recogida selectiva municipal)";"Envases compuestos";"Co-procesamiento";"Valorización";0,257;NA;"COACTIVA";"Tiltil"
